breakdown_type,group_value,bets,wins,total_staked,total_profit,roi,strike_rate,avg_price,avg_edge,combo_label,weight_market_sanity,weight_steam,base_roi,base_strike_rate,base_bets,base_total_profit,delta_roi,delta_strike_rate,delta_bets,delta_total_profit
price_band,9-12,125,17,125.0,49.0,0.392,0.136,9.916,0.08705385246389513,mkt=0.050|steam=0.100,0.05,0.1,0.4520547945205479,0.14383561643835616,146,66.0,-0.060054794520547905,-0.007835616438356147,-21,-17.0
price_band,12-20,112,10,112.0,16.0,0.14285714285714285,0.08928571428571429,13.133928571428571,0.09892252632525636,mkt=0.050|steam=0.100,0.05,0.1,0.04838709677419355,0.08064516129032258,124,6.0,0.0944700460829493,0.00864055299539171,-12,10.0
price_band,<3,1,0,1.0,-1.0,-1.0,0.0,2.7,0.09900515474473981,mkt=0.050|steam=0.100,0.05,0.1,1.9,1.0,1,1.9,-2.9,-1.0,0,-2.9
price_band,6-9,211,27,211.0,-16.0,-0.07582938388625593,0.12796208530805686,7.26303317535545,0.08204329767201927,mkt=0.050|steam=0.100,0.05,0.1,0.07709251101321586,0.14537444933920704,227,17.5,-0.15292189489947178,-0.01741236403115018,-16,-33.5
price_band,3-6,59,9,59.0,-18.3,-0.3101694915254237,0.15254237288135594,4.9271186440677965,0.07744208303447639,mkt=0.050|steam=0.100,0.05,0.1,-0.5392857142857143,0.10714285714285714,56,-30.2,0.22911622276029053,0.045399515738498805,3,11.899999999999999
price_band,12-20,116,10,116.0,9.0,0.07758620689655173,0.08620689655172414,13.10344827586207,0.09377758809291827,mkt=0.060|steam=0.040,0.06,0.04,0.04838709677419355,0.08064516129032258,124,6.0,0.02919911012235818,0.005561735261401565,-8,3.0
price_band,<3,1,1,1.0,1.9,1.9,1.0,2.9,0.09130752543287929,mkt=0.060|steam=0.040,0.06,0.04,1.9,1.0,1,1.9,0.0,0.0,0,0.0
price_band,6-9,213,29,213.0,0.5,0.002347417840375587,0.13615023474178403,7.345070422535211,0.08061823112094857,mkt=0.060|steam=0.040,0.06,0.04,0.07709251101321586,0.14537444933920704,227,17.5,-0.07474509317284027,-0.009224214597423008,-14,-17.0
price_band,9-12,125,12,125.0,-3.0,-0.024,0.096,9.908,0.09051696128375215,mkt=0.060|steam=0.040,0.06,0.04,0.4520547945205479,0.14383561643835616,146,66.0,-0.47605479452054794,-0.047835616438356154,-21,-69.0
price_band,3-6,39,4,39.0,-19.7,-0.5051282051282051,0.10256410256410256,4.958974358974359,0.07863102160791445,mkt=0.060|steam=0.040,0.06,0.04,-0.5392857142857143,0.10714285714285714,56,-30.2,0.03415750915750915,-0.004578754578754576,-17,10.5
price_band,9-12,118,14,118.0,24.5,0.2076271186440678,0.11864406779661017,9.85593220338983,0.08957127464965409,mkt=0.060|steam=0.060,0.06,0.06,0.4520547945205479,0.14383561643835616,146,66.0,-0.24442767587648012,-0.025191548641745984,-28,-41.5
